,windSpeed,humidity,temperature,Affluent_Achievers,Rising_Prosperity,Comfortable_Communities,Financially_Stretched,Urban_Adversity,Not_Private_Households,hour,day_of_week,month
2012-05-07 07:00:00,2.65,0.82,7.97,48.34700000000001,383.94599999999997,199.9400002,108.03000020000002,124.32499989999998,3.0189999999999992,7,0,5
2012-05-07 08:00:00,3.67,0.75,9.74,54.307,432.48800010000014,219.06100009999994,123.46499990000001,139.64700029999995,3.214,8,0,5
2012-05-07 09:00:00,3.94,0.7,10.37,65.8689998,475.8010000999999,244.86100019999998,131.439,165.5840000999999,4.441000000000001,9,0,5
2012-05-07 10:00:00,4.08,0.71,10.64,66.68499990000001,481.99700020000006,259.881,136.26800020000002,176.17999979999988,6.766,10,0,5
2012-05-07 11:00:00,4.17,0.71,11.38,69.78399999999999,508.9410008999999,262.1910004,141.8989998,178.2779999,5.3740000000000006,11,0,5
2012-05-07 12:00:00,4.52,0.82,10.73,74.47600010000001,523.2339999999997,289.5929997,146.0529997,184.04199990000004,5.2390001,12,0,5
2012-05-07 13:00:00,4.31,0.81,10.76,66.4430002,526.4159993000003,270.1989996000001,141.53599999999997,190.2589997,4.83,13,0,5
2012-05-07 14:00:00,4.56,0.85,10.71,70.3499999,516.9350000000002,244.55999990000004,131.59699999999998,187.3679997,4.803000000000001,14,0,5
2012-05-07 15:00:00,4.41,0.85,12.47,66.8230004,517.3830001999996,248.61899969999996,136.4599996,186.57300020000002,3.7740001000000003,15,0,5
2012-05-07 16:00:00,4.94,0.76,13.29,74.923,547.0890001,273.2769997,135.3509998,190.69399960000007,4.602,16,0,5
2012-05-07 17:00:00,4.46,0.69,14.48,77.72399969999998,615.4779998999998,305.8869996,151.2340004,186.80700000000002,7.43,17,0,5
2012-05-07 18:00:00,4.22,0.73,12.99,77.21799970000001,645.8899994999999,296.64300000000003,159.7069999,206.42099990000003,6.7400001000000005,18,0,5
2012-05-07 19:00:00,3.63,0.75,12.98,79.98400009999999,671.0799995999997,296.52000019999997,152.2059999,190.01599999999996,9.1580001,19,0,5
2012-05-07 20:00:00,3.55,0.78,12.42,93.11399999999999,694.2000005000001,332.04999979999997,158.2850001,200.95899970000005,6.433,20,0,5
2012-05-07 21:00:00,3.01,0.83,11.83,88.29999990000002,641.5089999999997,299.31100010000006,148.14700020000004,194.92499999999998,4.731,21,0,5
2012-05-07 22:00:00,3.23,0.92,10.94,68.20699990000001,492.71100020000006,236.69400010000004,111.285,163.24900000000005,4.923,22,0,5
2012-07-27 23:00:00,3.53,0.66,17.84,126.20799999999998,701.4200002000003,442.53699990000007,209.832,286.4979999000001,15.053999999999998,23,4,7
2012-07-28 00:00:00,3.25,0.65,16.84,106.96599979999999,628.9139998000003,385.37300030000006,174.66400000000004,269.6429999,12.914000099999999,0,5,7
2012-07-28 01:00:00,2.88,0.64,16.15,77.90999990000002,484.1679998000002,294.45300009999994,132.14099999999996,227.57200020000016,9.074,1,5,7
2012-07-28 02:00:00,3.03,0.64,15.66,70.3139998,404.71700000000027,260.9859998,118.68899999999996,191.15599999999995,6.548,2,5,7
2012-07-28 03:00:00,2.78,0.64,15.64,65.80199999999998,372.47700020000025,244.5109999999999,110.44899999999998,161.32899999999992,6.299000000000001,3,5,7
2012-07-28 04:00:00,3.1,0.65,15.59,67.6029998,372.418,236.44000010000002,113.68699989999998,161.55299980000004,6.7109999999999985,4,5,7
2012-07-28 05:00:00,2.33,0.68,15.05,73.7129999,396.23299989999975,257.67200010000005,119.88800009999997,161.16299999999995,7.629999999999997,5,5,7
2012-07-28 06:00:00,2.6,0.66,15.02,85.70699989999999,464.0859997,288.7730000999999,136.49599999999998,187.1169999999999,8.977999999999998,6,5,7
2012-07-28 07:00:00,2.82,0.68,15.17,109.74599999999998,527.5270002999999,347.2559999000001,168.48999999999998,225.23499990000008,10.332999999999998,7,5,7
2012-07-28 08:00:00,2.48,0.64,15.76,123.273,612.0139998000009,415.07500019999975,200.44600000000003,256.76100009999993,11.7329999,8,5,7
2012-07-28 09:00:00,1.84,0.56,18.28,121.42400010000001,632.2400000000001,433.8309998000001,208.01499980000006,276.6139998000001,10.225999999999999,9,5,7
2012-07-28 10:00:00,1.76,0.52,18.34,120.71300000000001,683.2749991000002,446.3490000999999,216.74299969999998,273.96899999999977,17.489999900000004,10,5,7
2012-07-28 11:00:00,1.88,0.54,19.73,130.60300039999998,693.7109992000003,459.01899979999985,224.42999980000002,297.87699989999993,15.867999999999999,11,5,7
2012-07-28 12:00:00,2.83,0.48,20.69,118.17999979999998,701.3849993999995,453.34599979999996,223.37700010000003,299.2530004,16.7959999,12,5,7
2012-07-28 13:00:00,3.01,0.41,20.55,113.4910001,666.1949999999996,431.1709998000001,197.4009998,287.30200010000004,19.4770002,13,5,7
2012-07-28 14:00:00,3.72,0.41,21.09,104.3089998,641.8510001999996,423.82500030000006,196.86100000000005,276.4339999000001,17.662,14,5,7
2012-07-28 15:00:00,3.92,0.41,20.32,107.36000009999998,634.0480003999994,416.1060001,197.89100009999999,287.4679997999999,18.250000000000004,15,5,7
2012-07-28 16:00:00,4.58,0.45,20.24,112.92000009999998,659.2359994999997,465.14700000000005,227.90999979999998,302.07199999999983,16.8190001,16,5,7
2012-07-28 17:00:00,4.77,0.47,19.31,135.245,722.4539998999996,516.4499998000002,245.31100009999994,323.5010000000001,19.9109999,17,5,7
2012-07-28 18:00:00,5.08,0.46,19.12,145.9009999,755.5429998,503.6630000000002,248.82800020000002,335.9809999999999,18.1379999,18,5,7
